[init] dropping graph 'bench2_b7_noisy_2m'
[init] creating composite index :entity(uuid_hi, uuid_lo)
[init]   hub/star 1465/2700 batches (732,500 edges)
[init]   hub/star 1470/2700 batches (735,000 edges)
[init]   hub/star 1475/2700 batches (737,500 edges)
[init]   hub/star 1480/2700 batches (740,000 edges)
[init]   hub/star 1485/2700 batches (742,500 edges)
[init]   hub/star 1490/2700 batches (745,000 edges)
[init]   hub/star 1495/2700 batches (747,500 edges)
[init]   hub/star 1500/2700 batches (750,000 edges)
[init]   hub/star 1505/2700 batches (752,500 edges)
[init]   hub/star 1510/2700 batches (755,000 edges)
[init]   hub/star 1515/2700 batches (757,500 edges)
[init]   hub/star 1520/2700 batches (760,000 edges)
[init]   hub/star 1525/2700 batches (762,500 edges)
[init]   hub/star 1530/2700 batches (765,000 edges)
[init]   hub/star 1535/2700 batches (767,500 edges)
[init]   hub/star 1540/2700 batches (770,000 edges)
[init]   hub/star 1545/2700 batches (772,500 edges)
[init]   hub/star 1550/2700 batches (775,000 edges)
[init]   hub/star 1555/2700 batches (777,500 edges)
[init]   hub/star 1560/2700 batches (780,000 edges)
[init]   hub/star 1565/2700 batches (782,500 edges)
[init]   hub/star 1570/2700 batches (785,000 edges)
[init]   hub/star 1575/2700 batches (787,500 edges)
[init]   hub/star 1580/2700 batches (790,000 edges)
[init]   hub/star 1585/2700 batches (792,500 edges)
[init]   hub/star 1590/2700 batches (795,000 edges)
[init]   hub/star 1595/2700 batches (797,500 edges)
[init]   hub/star 1600/2700 batches (800,000 edges)
[init]   hub/star 1605/2700 batches (802,500 edges)
[init]   hub/star 1610/2700 batches (805,000 edges)
[init]   hub/star 1615/2700 batches (807,500 edges)
[init]   hub/star 1620/2700 batches (810,000 edges)
[init]   hub/star 1625/2700 batches (812,500 edges)
[init]   hub/star 1630/2700 batches (815,000 edges)
[init]   hub/star 1635/2700 batches (817,500 edges)
[init]   hub/star 1640/2700 batches (820,000 edges)
[init]   hub/star 1645/2700 batches (822,500 edges)
[init]   hub/star 1650/2700 batches (825,000 edges)
[init]   hub/star 1655/2700 batches (827,500 edges)
